114	Cd	28.73	113903365.1	0.43
115	In	95.7	114903878.8	0.012
115	Sn	0.36	114903344.7	0.016
116	Cd	7.49	115904763.1	0.171
116	Sn	14.7	115901742.8	0.102
117	Sn	7.7	116902954	0.519
118	Sn	24.3	117901606.6	0.536
119	Sn	8.6	118903311.2	0.779
120	Te	0.096	119904059.3	3.341
120	Sn	32.4	119902201.6	0.97
121	Sb	57.3	120903812	3.009
122	Te	2.6	121903043.5	1.619
122	Sn	4.6	121903443.8	2.576
123	Sb	42.7	122904213.2	2.278
123	Te	0.91	122904269.8	1.617
124	Sn	5.6	123905276.6	1.089
124	Te	4.82	123902817.1	1.614
124	Xe	0.1	123905892	1.936
125	Te	7.14	124904429.9	1.614
126	Xe	0.09	125904298.3	3.847
126	Te	18.95	125903310.9	1.616
127	I	100	126904471.9	3.915
128	Te	31.69	127904461.3	0.929
128	Xe	1.91	127903531	1.138
129	Xe	26.4	128904780.9	0.00596
130	Ba	0.11	129906320.7	2.767
130	Te	33.8	129906222.7	0.012
130	Xe	4.1	129903509.3	0.01
131	Xe	21.2	130905084.1	0.236
132	Xe	26.9	131904155.1	0.00559
132	Ba	0.1	131905061.1	1.132
133	Cs	100	132905452	0.008
134	Xe	10.4	133905394.7	0.904
134	Ba	2.42	133904508.2	0.296
135	Ba	6.59	134905688.4	0.294
136	Xe	8.9	135907214.5	0.011
136	Ce	0.19	135907129.2	0.412
136	Ba	7.85	135904575.7	0.294
137	Ba	11.23	136905827.1	0.303
138	Ba	71.7	137905247	0.306
138	La	0.09	137907114.9	3.684
138	Ce	0.25	137905991.1	10.612
139	La	99.91	138906356.3	2.438
140	Ce	88.48	139905443.1	2.34
141	Pr	100	140907657.6	2.292
142	Ce	11.08	141909250.4	2.91
142	Nd	27.13	141907729	1.953
143	Nd	12.18	142909820	1.953
144	Sm	3.1	143912006.5	2.09
144	Nd	23.8	143910093	1.952
145	Nd	8.3	144912579.3	1.953
146	Nd	17.19	145913122.6	1.953
147	Sm	15	146914904.4	1.919
148	Nd	5.76	147916899.3	2.594
148	Sm	11.3	147914829.2	1.92
149	Sm	13.8	148917192.1	1.839
150	Nd	5.64	149920902.2	1.821
150	Sm	7.4	149917282.9	1.809
151	Eu	47.8	150919857.8	1.843
152	Gd	0.2	151919799.5	1.754
152	Sm	26.7	151919739.7	1.759
153	Eu	52.2	152921238	1.846
154	Sm	22.7	153922216.9	1.964
154	Gd	2.18	153920874.1	1.747
155	Gd	14.8	154922630.5	1.742
156	Gd	20.47	155922131.2	1.742
156	Dy	0.06	155924284.7	1.746
157	Gd	15.65	156923968.6	1.742
158	Dy	0.1	157924415.9	3.075
158	Gd	24.84	157924112.3	1.742
159	Tb	100	158925354.7	1.879
160	Gd	21.86	159927062.4	1.84
160	Dy	2.34	159925204.6	2.021
161	Dy	18.9	160926940.5	2.02
162	Er	0.14	161928788.4	2.046
162	Dy	25.5	161926805.6	2.021
163	Dy	24.9	162928738.3	2.021
164	Dy	28.2	163929181.9	2.021
164	Er	1.61	163929208.8	2.024
165	Ho	100	164930328.8	2.129
166	Er	33.6	165930299.5	2.179
167	Er	22.95	166932054.6	2.18
168	Yb	0.13	167933889.6	2.198
168	Er	26.8	167932376.7	2.182
169	Tm	100	168934217.9	2.217
170	Yb	3.05	169934766.4	2.21
170	Er	14.9	169935470.2	2.556
171	Yb	14.3	170936330.2	2.167
172	Yb	21.9	171936385.9	2.166
173	Yb	16.12	172938215.1	2.16
174	Hf	0.16	173940046.1	2.845
174	Yb	31.8	173938866.4	2.16
175	Lu	97.4	174940775.2	2.041
176	Yb	12.7	175942576.4	2.414
176	Lu	2.6	175942689.7	2.039
