84	Se	2.55E-02	83918466.76	2.105
84	Br	9.17E-04	83916496.42	27.622
85	Ga	2.85E-06	84956990	320
85	Ge	1.06E-03	84942969.66	4.003
85	As	2.60E-02	84932163.66	3.304
85	Se	3.75E-02	84922260.76	2.804
85	Br	1.92E-02	84915645.76	3.304
85	Kr	4.60E-04	84912527.26	2.147
86	Ga	1.33E-07	85963010	750
86	Ge	1.42E-04	85946580	320
86	As	9.35E-03	85936701.53	3.703
86	Se	6.70E-02	85924311.73	2.705
86	Br	2.10E-02	85918805.43	3.304
87	Ge	2.02E-05	86952680	430
87	As	3.78E-03	86940291.72	3.204
87	Se	7.11E-02	86928688.62	2.405
87	Br	1.10E-01	86920674.02	3.404
87	Kr	2.24E-02	86913354.76	0.264
87	Rb	3.38E-04	86909180.53	0.006
87	Sr	0.00E+00	86908877.53	1.154
88	Ge	1.59E-06	87956910	540
88	As	8.64E-04	87945550	210
88	Se	4.42E-02	87931417.49	3.604
88	Br	1.69E-01	87924083.29	3.404
88	Kr	8.81E-02	87914447.88	2.8
88	Rb	3.66E-03	87911315.59	0.171
88	Sr	1.50E-05	87905612.54	1.164
89	As	1.09E-04	88949760	320
89	Se	1.53E-02	88936669.06	4.003
89	Br	1.50E-01	88926704.56	3.504
89	Kr	1.74E-01	88917835.45	2.3
89	Rb	2.00E-02	88912278.3	5.863
89	Sr	2.29E-04	88907451.1	1.168
89	Y	0.00E+00	88905840.35	2.397
90	Se	4.15E-03	89940096	354
90	Br	1.09E-01	89931292.85	3.604
90	Kr	3.35E-01	89919527.93	2
90	Rb	1.75E-02	89914798.45	6.993
90	Sr	2.94E-03	89907730.04	2.809
90	Y	6.01E-06	89907143.94	2.397
91	Se	5.84E-04	90945960	540
91	Br	4.14E-02	90934398.62	3.804
91	Kr	3.16E-01	90923806.31	2.4
91	Rb	2.24E-01	90916537.17	8.381
91	Sr	1.78E-02	90910195.44	6.066
91	Y	1.08E-04	90907297.44	2.761
92	Se	6.09E-05	91949840	640
92	Br	1.20E-02	91939631.6	7.202
92	Kr	2.36E-01	91926173.09	2.9
92	Rb	3.47E-01	91919728.39	6.579
92	Sr	8.14E-02	91911038.19	3.676
