N	Z	A	El	mass	m_err
100	70	170	Yb	169934767.245	0.011
99	71	170	Lu	169938479.234	18.081
98	72	170	Hf	169939609.0	30.0
97	73	170	Ta	169946175.0	30.0
96	74	170	W	169949231.2	14.165
95	75	170	Re	169958224.966	24.808
94	76	170	Os	169963578.673	10.491
93	77	170	Ir	169974922.0	95.0
92	78	170	Pt	169982502.095	19.588
91	79	170	Au	169995972.0	211.0
106	65	171	Tb	170952730.0	540.0
105	66	171	Dy	170946120.0	320.0
104	67	171	Ho	170941471.49	644.128
103	68	171	Er	170938036.148	1.67
102	69	171	Tm	170936435.126	1.043
101	70	171	Yb	170936331.517	0.014
100	71	171	Lu	170937918.66	1.998
99	72	171	Hf	170940492.0	31.0
98	73	171	Ta	170944476.0	30.0
97	74	171	W	170949451.0	30.0
96	75	171	Re	170955716.0	30.0
95	76	171	Os	170963175.348	19.133
94	77	171	Ir	170971645.522	41.295
93	78	171	Pt	170981245.502	78.097
92	79	171	Au	170991881.542	22.236
91	80	171	Hg	171003736.0	325.0
107	65	172	Tb	171957219.0	540.0
106	66	172	Dy	171948460.0	320.0
105	67	172	Ho	171944730.0	210.0
104	68	172	Er	171939362.344	4.302
103	69	172	Tm	171938406.067	5.907
102	70	172	Yb	171936386.658	0.014
101	71	172	Lu	171939091.417	2.507
100	72	172	Hf	171939449.716	26.224
99	73	172	Ta	171944895.0	30.0
98	74	172	W	171947292.0	30.0
97	75	172	Re	171955408.079	41.862
96	76	172	Os	171960017.088	13.721
95	77	172	Ir	171970607.036	34.785
94	78	172	Pt	171977340.788	11.139
93	79	172	Au	171989996.708	60.287
92	80	172	Hg	171998863.391	161.116
107	66	173	Dy	172952830.0	430.0
106	67	173	Ho	172947020.0	320.0
105	68	173	Er	172942400.0	210.0
104	69	173	Tm	172939606.632	4.723
103	70	173	Yb	172938216.215	0.012
102	71	173	Lu	172938935.822	1.682
101	72	173	Hf	172940513.0	30.0
100	73	173	Ta	172943750.0	30.0
99	74	173	W	172947689.0	30.0
98	75	173	Re	172953243.0	30.0
97	76	173	Os	172959808.375	16.059
96	77	173	Ir	172967505.496	11.837
95	78	173	Pt	172976443.315	60.093
94	79	173	Au	172986223.808	24.459
93	80	173	Hg	172997091.0	210.0
108	66	174	Dy	173955587.0	540.0
107	67	174	Ho	173950950.0	320.0
106	68	174	Er	173944230.0	320.0
105	69	174	Tm	173942174.064	48.01
104	70	174	Yb	173938867.548	0.011
103	71	174	Lu	173940342.938	1.682
102	72	174	Hf	173940048.48	2.424
101	73	174	Ta	173944454.0	30.0
100	74	174	W	173946079.0	30.0
99	75	174	Re	173953115.0	30.0
98	76	174	Os	173957063.152	11.008
97	77	174	Ir	173966866.676	26.111
96	78	174	Pt	173972819.832	11.112
95	79	174	Au	173984718.0	95.0
94	80	174	Hg	173992870.583	20.624
108	67	175	Ho	174953620.0	430.0
107	68	175	Er	174947770.0	430.0
106	69	175	Tm	174943842.313	53.677
105	70	175	Yb	174941281.91	0.076
104	71	175	Lu	174940777.308	1.295
103	72	175	Hf	174941511.527	2.449
102	73	175	Ta	174943737.0	30.0
101	74	175	W	174946717.0	30.0
100	75	175	Re	174951381.0	30.0
99	76	175	Os	174956945.105	12.64
98	77	175	Ir	174964149.521	13.295
97	78	175	Pt	174972395.457	19.522
96	79	175	Au	174981316.085	41.481
95	80	175	Hg	174991441.086	78.257
109	67	176	Ho	175957820.0	540.0
108	68	176	Er	175949940.0	430.0
107	69	176	Tm	175946997.711	107.354
106	70	176	Yb	175942574.708	0.015
105	71	176	Lu	175942691.809	1.301
104	72	176	Hf	175941409.905	1.59
103	73	176	Ta	175944857.0	33.0
102	74	176	W	175945634.0	30.0
101	75	176	Re	175951623.0	30.0
100	76	176	Os	175954806.0	30.0
99	77	176	Ir	175963630.119	17.981
98	78	176	Pt	175968938.214	13.66
97	79	176	Au	175980116.927	35.625
96	80	176	Hg	175987348.335	11.937
95	81	176	Tl	176000624.367	80.607
109	68	177	Er	176953990.0	540.0
108	69	177	Tm	176949040.0	320.0
107	70	177	Yb	176945263.848	0.236
106	71	177	Lu	176943763.668	1.31
105	72	177	Hf	176943230.32	1.511
104	73	177	Ta	176944482.073	3.557
103	74	177	W	176946643.0	30.0
102	75	177	Re	176950328.0	30.0
101	76	177	Os	176954957.882	15.687
100	77	177	Ir	176961301.5	21.213
99	78	177	Pt	176968469.529	16.09
98	79	177	Au	176976870.379	11.268
97	80	177	Hg	176986277.376	80.575
96	81	177	Tl	176996413.797	23.219
110	68	178	Er	177956779.0	640.0
109	69	178	Tm	177952640.0	430.0
108	70	178	Yb	177946649.71	10.735
107	71	178	Lu	177945960.162	2.416
106	72	178	Hf	177943708.456	1.516
105	73	178	Ta	177945681.0	56.0
104	74	178	W	177945885.925	16.316
103	75	178	Re	177950989.0	30.0
102	76	178	Os	177953253.3	14.634
101	77	178	Ir	177961082.0	21.213
100	78	178	Pt	177965649.248	10.878
99	79	178	Au	177976055.945	10.827
98	80	178	Hg	177982484.158	11.562
97	81	178	Tl	177994857.0	96.0
96	82	178	Pb	178003837.163	25.724
110	69	179	Tm	178955340.0	540.0
109	70	179	Yb	178950040.0	210.0
108	71	179	Lu	178947333.082	5.528
107	72	179	Hf	178945825.838	1.517
106	73	179	Ta	178945939.187	1.571
105	74	179	W	178947079.501	15.644
104	75	179	Re	178949989.715	26.45
103	76	179	Os	178953816.669	17.718
102	77	179	Ir	178959117.596	10.489
101	78	179	Pt	178965358.719	8.563
100	79	179	Au	178973173.668	12.555
99	80	179	Hg	178981826.899	29.272
98	81	179	Tl	178991123.405	41.646
97	82	179	Pb	179002201.452	81.149
111	69	180	Tm	179959291.0	540.0
110	70	180	Yb	179952120.0	320.0
109	71	180	Lu	179949890.876	75.926
108	72	180	Hf	179946559.669	1.522
107	73	180	Ta	179947468.392	2.081
106	74	180	W	179946713.435	1.542
105	75	180	Re	179950791.568	22.965
104	76	180	Os	179952379.93	17.596
103	77	180	Ir	179959229.446	23.302
102	78	180	Pt	179963031.563	11.781
101	79	180	Au	179972489.883	5.137
100	80	180	Hg	179978260.249	13.579
99	81	180	Tl	179989923.019	64.423
98	82	180	Pb	179997915.842	13.307
112	69	181	Tm	180962243.0	640.0
111	70	181	Yb	180955890.0	320.0
110	71	181	Lu	180951908.0	135.0
109	72	181	Hf	180949110.965	1.524
108	73	181	Ta	180947999.331	1.506
107	74	181	W	180948218.863	1.551
106	75	181	Re	180950061.523	13.471
105	76	181	Os	180953247.188	27.201
104	77	181	Ir	180957634.694	5.631
103	78	181	Pt	180963089.927	14.695
102	79	181	Au	180970079.103	21.445
101	80	181	Hg	180977819.357	16.513
100	81	181	Tl	180986259.992	9.778
99	82	181	Pb	180996653.386	80.957
112	70	182	Yb	181958325.0	430.0
111	71	182	Lu	181955040.0	210.0
110	72	182	Hf	181950563.816	6.618
109	73	182	Ta	181950155.413	1.508
108	74	182	W	181948205.721	0.791
107	75	182	Re	181951211.645	109.483
106	76	182	Os	181952110.153	23.344
105	77	182	Ir	181958076.296	22.509
104	78	182	Pt	181961171.571	14.057
103	79	182	Au	181969617.874	21.749
102	80	182	Hg	181974689.132	10.51
101	81	182	Tl	181985691.88	12.709
100	82	182	Pb	181992672.94	12.987
113	70	183	Yb	182962319.0	430.0
112	71	183	Lu	182957363.0	86.0
111	72	183	Hf	182953534.004	32.242
110	73	183	Ta	182951376.18	1.523
109	74	183	W	182950224.5	0.79
108	75	183	Re	182950821.39	8.624
107	76	183	Os	182953124.719	53.42
106	77	183	Ir	182956839.968	26.191
105	78	183	Pt	182961596.653	16.675
104	79	183	Au	182967588.108	10.116
103	80	183	Hg	182974444.629	7.604
102	81	183	Tl	182982192.846	10.017
101	82	183	Pb	182991867.668	30.221
114	70	184	Yb	183965067.0	540.0
113	71	184	Lu	183960910.0	320.0
112	72	184	Hf	183955448.587	42.625
111	73	184	Ta	183954010.038	27.923
110	74	184	W	183950933.26	0.785
109	75	184	Re	183952528.267	4.589
108	76	184	Os	183952492.949	0.887
107	77	184	Ir	183957476.0	30.0
106	78	184	Pt	183959920.039	16.73
105	79	184	Au	183967451.524	23.912
104	80	184	Hg	183971713.221	10.802
103	81	184	Tl	183981875.093	10.757
102	82	184	Pb	183988135.702	13.748
101	83	184	Bi	184001141.25	83.854
115	70	185	Yb	184969404.0	540.0
114	71	185	Lu	184963620.0	320.0
113	72	185	Hf	184958862.0	69.0
112	73	185	Ta	184955561.396	15.202
111	74	185	W	184953421.286	0.786
110	75	185	Re	184952958.337	0.877
109	76	185	Os	184954045.995	0.891
108	77	185	Ir	184956698.0	30.0
107	78	185	Pt	184960613.659	27.731
106	79	185	Au	184965798.874	2.8
105	80	185	Hg	184971890.676	14.641
104	81	185	Tl	184978789.191	22.194
103	82	185	Pb	184987609.989	17.364
102	83	185	Bi	184997600.0	87.0
115	71	186	Lu	185967568.0	430.0
114	72	186	Hf	185960897.0	55.0
113	73	186	Ta	185958553.111	64.425
112	74	186	W	185954365.215	1.3
111	75	186	Re	185954989.419	0.886
110	76	186	Os	185953837.66	0.816
109	77	186	Ir	185957946.754	17.74
108	78	186	Pt	185959350.846	23.344
107	79	186	Au	185965952.703	22.509
106	80	186	Hg	185969362.017	12.507
105	81	186	Tl	185978650.841	24.0
104	82	186	Pb	185984238.196	12.199
103	83	186	Bi	185996622.402	18.096
102	84	186	Po	186004402.577	19.63
116	71	187	Lu	186970392.0	430.0
115	72	187	Hf	186964770.0	320.0
114	73	187	Ta	186960391.0	60.0
113	74	187	W	186957161.323	1.3
112	75	187	Re	186955752.288	0.79
111	76	187	Os	186955749.64	0.79
110	77	187	Ir	186957542.0	30.0
109	78	187	Pt	186960616.976	25.816
108	79	187	Au	186964543.155	23.948
107	80	187	Hg	186969814.158	14.928
106	81	187	Tl	186975904.743	8.64
105	82	187	Pb	186983910.836	5.468
104	83	187	Bi	186993147.276	10.74
103	84	187	Po	187003036.624	34.243
117	71	188	Lu	187974460.0	540.0
116	72	188	Hf	187966850.0	320.0
115	73	188	Ta	187963916.0	59.0
114	74	188	W	187958488.395	3.316
113	75	188	Re	187958113.728	0.791
112	76	188	Os	187955837.361	0.787
111	77	188	Ir	187958835.046	10.116
110	78	188	Pt	187959397.56	5.694
109	79	188	Au	187965247.969	2.9
108	80	188	Hg	187967576.91	13.178
107	81	188	Tl	187976020.886	32.103
106	82	188	Pb	187980874.592	11.403
105	83	188	Bi	187992276.184	12.009
104	84	188	Po	187999415.655	21.441
117	72	189	Hf	188970840.0	320.0
116	73	189	Ta	188965830.0	210.0
115	74	189	W	188961763.0	43.0
114	75	189	Re	188959227.817	8.793
113	76	189	Os	188958146.005	0.715
112	77	189	Ir	188958722.669	13.5
111	78	189	Pt	188960848.542	10.832
110	79	189	Au	188963948.286	21.558
109	80	189	Hg	188968194.748	33.873
108	81	189	Tl	188973573.527	8.983
107	82	189	Pb	188980843.639	15.096
106	83	189	Bi	188989195.141	22.384
105	84	189	Po	188998473.415	23.681
118	72	190	Hf	189973129.0	430.0
117	73	190	Ta	189969390.0	210.0
116	74	190	W	189963089.066	42.647
115	75	190	Re	189961743.36	76.063
114	76	190	Os	189958445.496	0.697
113	77	190	Ir	189960543.445	1.47
112	78	190	Pt	189959949.876	0.704
111	79	190	Au	189964751.75	3.7
110	80	190	Hg	189966322.169	17.076
109	81	190	Tl	189973835.551	8.532
108	82	190	Pb	189978081.828	13.434
107	83	190	Bi	189988620.883	24.221
106	84	190	Po	189995100.519	14.455
118	73	191	Ta	190971560.0	320.0
117	74	191	W	190966531.0	45.0
116	75	191	Re	190963123.437	11.019
115	76	191	Os	190960928.159	0.707
114	77	191	Ir	190960591.527	1.406
113	78	191	Pt	190961676.363	4.43
112	79	191	Au	190963716.455	5.288
111	80	191	Hg	190967158.247	23.918
110	81	191	Tl	190971784.096	7.889
109	82	191	Pb	190978281.0	40.0
108	83	191	Bi	190985786.975	8.037
107	84	191	Po	190994558.488	7.624
106	85	191	At	191004148.086	17.287
119	73	192	Ta	191975240.0	430.0
118	74	192	W	191968170.0	210.0
117	75	192	Re	191966088.0	76.0
116	76	192	Os	191961478.881	2.485
115	77	192	Ir	191962602.485	1.41
114	78	192	Pt	191961042.736	2.758
113	79	192	Au	191964817.684	16.991
112	80	192	Hg	191965634.182	16.679
111	81	192	Tl	191972225.0	34.0
110	82	192	Pb	191975785.115	14.273
109	83	192	Bi	191985470.078	32.326
108	84	192	Po	191991335.788	11.926
107	85	192	At	192003141.034	29.926
120	73	193	Ta	192977595.0	430.0
119	74	193	W	192971780.0	210.0
118	75	193	Re	192967545.0	42.0
117	76	193	Os	192964149.753	2.491
116	77	193	Ir	192962923.824	1.425
115	78	193	Pt	192962984.616	1.458
114	79	193	Au	192964138.447	9.311
113	80	193	Hg	192966653.377	16.645
112	81	193	Tl	192970501.997	7.2
111	82	193	Pb	192976173.234	53.222
110	83	193	Bi	192982947.223	8.132
109	84	193	Po	192991062.403	15.599
108	85	193	At	192999927.728	23.222
107	86	193	Rn	193009707.964	26.958
121	73	194	Ta	193981428.0	540.0
120	74	194	W	193973670.0	320.0
119	75	194	Re	193970760.0	210.0
118	76	194	Os	193965179.477	2.579
117	77	194	Ir	193965075.773	1.43
116	78	194	Pt	193962683.527	0.532
115	79	194	Au	193965419.062	2.273
114	80	194	Hg	193965449.111	3.1
113	81	194	Tl	193971081.411	15.0
112	82	194	Pb	193974011.706	18.717
111	83	194	Bi	193982792.362	6.632
110	84	194	Po	193988186.015	13.86
109	85	194	At	193999226.872	26.764
108	86	194	Rn	194006144.424	18.141
121	74	195	W	194977445.0	320.0
120	75	195	Re	194972540.0	320.0
119	76	195	Os	194968318.0	60.0
118	77	195	Ir	194965976.967	1.431
117	78	195	Pt	194964794.353	0.539
116	79	195	Au	194965037.851	1.201
115	80	195	Hg	194966705.751	24.843
114	81	195	Tl	194969774.096	11.909
113	82	195	Pb	194974548.743	19.28
112	83	195	Bi	194980648.762	5.675
111	84	195	Po	194988130.617	40.112
110	85	195	At	194996274.485	10.276
109	86	195	Rn	195005421.699	54.216
122	74	196	W	195979731.0	430.0
121	75	196	Re	195975800.0	320.0
120	76	196	Os	195969643.277	43.0
119	77	196	Ir	195968399.696	41.239
118	78	196	Pt	195964954.675	0.547
117	79	196	Au	195966571.221	3.179
116	80	196	Hg	195965833.444	3.163
115	81	196	Tl	195970481.192	13.0
114	82	196	Pb	195972787.466	8.277
113	83	196	Bi	195980666.509	26.224
112	84	196	Po	195985536.094	14.506
111	85	196	At	195995797.421	32.511
110	86	196	Rn	196002115.945	15.476
123	74	197	W	196983747.0	430.0
122	75	197	Re	196977990.0	320.0
121	76	197	Os	196972830.0	210.0
120	77	197	Ir	196969657.233	21.588
119	78	197	Pt	196967343.053	0.575
118	79	197	Au	196966570.114	0.581
117	80	197	Hg	196967213.713	3.442
116	81	197	Tl	196969573.986	17.526
115	82	197	Pb	196973434.717	5.157
114	83	197	Bi	196978864.929	8.946
113	84	197	Po	196985659.607	53.332
112	85	197	At	196993177.357	8.57
111	86	197	Rn	197001621.43	17.383
110	87	197	Fr	197011008.09	58.404
123	75	198	Re	197981600.0	430.0
122	76	198	Os	197974410.0	210.0
121	77	198	Ir	197972280.0	210.0
120	78	198	Pt	197967896.734	2.254
119	79	198	Au	197968243.724	0.579
118	80	198	Hg	197966769.179	0.491
117	81	198	Tl	197970446.673	8.1
116	82	198	Pb	197972015.397	9.393
115	83	198	Bi	197979206.0	30.0
114	84	198	Po	197983388.672	18.705
113	85	198	At	197992791.673	6.3
112	86	198	Rn	197998679.156	14.406
111	87	198	Fr	198010278.138	34.591
124	75	199	Re	198984047.0	430.0
123	76	199	Os	198978010.0	210.0
122	77	199	Ir p	198973807.115	44.073
121	78	199	Pt	198970597.038	2.317
120	79	199	Au	198968766.582	0.581
119	80	199	Hg	198968280.989	0.564
118	81	199	Tl	198969877.0	30.0
117	82	199	Pb	198972912.542	10.73
116	83	199	Bi	198977672.893	11.345
115	84	199	Po	198983673.021	19.387
114	85	199	At	198990527.719	5.78
113	86	199	Rn	198998390.273	40.352
112	87	199	Fr	199007269.389	14.734
124	76	200	Os	199979840.0	320.0
123	77	200	Ir	199976800.0	210.0
122	78	200	Pt	199971444.625	21.588
121	79	200	Au	199970756.556	28.681
120	80	200	Hg	199968326.934	0.568
119	81	200	Tl	199970963.602	6.182
118	82	200	Pb	199971818.332	11.73
117	83	200	Bi	199978131.093	23.962
116	84	200	Po	199981812.27	8.135
115	85	200	At	199990351.1	26.264
114	86	200	Rn	199995700.707	14.686
113	87	200	Fr	200006583.507	32.861
125	76	201	Os	200983640.0	320.0
124	77	201	Ir	200978640.0	210.0
123	78	201	Pt	200974513.293	53.788
122	79	201	Au	200971657.665	3.454
121	80	201	Hg	200970303.038	0.763
120	81	201	Tl	200970820.168	15.228
119	82	201	Pb	200972870.425	14.758
118	83	201	Bi	200977008.512	16.299
117	84	201	Po	200982263.777	5.305
116	85	201	At	200988417.061	8.786
115	86	201	Rn	200995628.179	53.389
114	87	201	Fr	201003852.496	9.747
113	88	201	Ra	201012814.683	21.794
126	76	202	Os	201985950.0	430.0
125	77	202	Ir	201981990.0	320.0
124	78	202	Pt	201975639.0	27.0
123	79	202	Au	201973856.0	25.0
122	80	202	Hg	201970643.585	0.756
121	81	202	Tl	201972109.089	1.723
120	82	202	Pb	201972151.604	4.075
119	83	202	Bi	201977733.1	16.528
118	84	202	Po	201980738.881	9.307
117	85	202	At	201988630.38	30.034
116	86	202	Rn	201993263.902	18.808
115	87	202	Fr	202003323.946	7.557
114	88	202	Ra	202009742.264	16.122
127	76	203	Os	202991798.0	430.0
126	77	203	Ir	202984230.0	430.0
125	78	203	Pt	202978930.0	210.0
124	79	203	Au	202975154.498	3.309
123	80	203	Hg	202972872.326	1.746
122	81	203	Tl	202972344.022	1.252
121	82	203	Pb	202973390.535	7.036
120	83	203	Bi	202976892.145	13.717
119	84	203	Po	202981415.995	9.291
118	85	203	At	202986942.957	11.353
117	86	203	Rn	202993393.732	19.516
116	87	203	Fr	203000940.872	6.689
115	88	203	Ra	203009298.745	40.928
127	77	204	Ir	203989600.0	430.0
126	78	204	Pt	203980760.0	210.0
125	79	204	Au	203977831.0	215.0
124	80	204	Hg	203973494.037	0.534
123	81	204	Tl	203973863.337	1.236
122	82	204	Pb	203973043.42	1.23
121	83	204	Bi	203977835.717	9.854
120	84	204	Po	203980309.863	11.822
119	85	204	At	203987251.197	23.926
118	86	204	Rn	203991443.644	7.991
117	87	204	Fr	204000651.974	26.389
116	88	204	Ra	204006502.228	16.396
128	77	205	Ir	204993602.0	540.0
127	78	205	Pt	204986080.0	320.0
126	79	205	Au	204979850.0	210.0
125	80	205	Hg	204976073.125	3.923
124	81	205	Tl	204974427.237	1.328
123	82	205	Pb	204974481.597	1.228
122	83	205	Bi	204977386.323	5.487
121	84	205	Po	204981190.004	10.798
120	85	205	At	204986074.041	16.194
119	86	205	Rn	204991723.204	5.453
118	87	205	Fr	204998593.858	8.399
117	88	205	Ra	205006268.415	75.707
116	89	205	Ac	205015144.158	54.555
128	78	206	Pt	205989660.0	320.0
127	79	206	Au	205984740.0	320.0
126	80	206	Hg	205977513.756	21.943
125	81	206	Tl	205976110.026	1.378
124	82	206	Pb	205974465.124	1.227
123	83	206	Bi	205978498.757	8.193
122	84	206	Po	205980473.654	4.306
121	85	206	At	205986656.148	16.162
120	86	206	Rn	205990195.358	9.223
119	87	206	Fr	205998666.211	30.268
118	88	206	Ra	206003827.763	19.332
117	89	206	Ac	206014470.787	54.206
129	78	207	Pt	206995126.0	430.0
128	79	207	Au	206988395.0	322.0
127	80	207	Hg	206982300.0	32.0
126	81	207	Tl	206977418.586	5.839
125	82	207	Pb	206975896.735	1.23
124	83	207	Bi	206978470.471	2.573
123	84	207	Po	206981593.252	7.148
122	85	207	At	206985799.783	13.318
121	86	207	Rn	206990730.2	9.121
120	87	207	Fr	206996946.474	18.792
119	88	207	Ra	207003805.161	57.115
118	89	207	Ac	207011965.973	54.092
130	78	208	Pt	207998937.0	429.0
129	79	208	Au	207993450.0	320.0
128	80	208	Hg	207985759.0	33.0
127	81	208	Tl	207982017.992	1.99
126	82	208	Pb	207976651.918	1.231
125	83	208	Bi	207979741.981	2.473
124	84	208	Po	207981245.616	1.864
123	85	208	At	207986613.042	9.577
122	86	208	Rn	207989634.295	11.957
121	87	208	Fr	207997138.018	12.704
120	88	208	Ra	208001854.929	9.686
119	89	208	Ac	208011544.073	59.813
118	90	208	Th	208017910.722	36.704
130	79	209	Au	208997273.0	429.0
129	80	209	Hg	208990720.0	160.0
128	81	209	Tl	208985351.75	6.559
127	82	209	Pb	208981089.898	1.875
126	83	209	Bi	208980398.519	1.464
125	84	209	Po	208982430.276	1.908
124	85	209	At	208986169.944	5.477
123	86	209	Rn	208990401.388	10.692
122	87	209	Fr	208995953.197	15.725
121	88	209	Ra	209001994.879	6.169
120	89	209	Ac	209009494.22	54.33
119	90	209	Th	209017571.0	150.0
131	79	210	Au	210002500.0	430.0
130	80	210	Hg	209994240.0	210.0
129	81	210	Tl	209990072.97	12.456
128	82	210	Pb	209984188.301	1.553
127	83	210	Bi	209984120.156	1.462
126	84	210	Po	209982873.601	1.23
125	85	210	At	209987147.338	8.261
124	86	210	Rn	209989688.854	4.892
123	87	210	Fr	209996421.657	16.268
122	88	210	Ra	210000475.356	9.868
121	89	210	Ac	210009436.13	61.623
120	90	210	Th	210015093.437	20.299
131	80	211	Hg	210999330.0	210.0
130	81	211	Tl	210993475.0	45.0
129	82	211	Pb	210988735.356	2.426
128	83	211	Bi	210987268.698	5.842
127	84	211	Po	210986653.085	1.347
126	85	211	At	210987496.147	2.929
125	86	211	Rn	210990600.686	7.314
124	87	211	Fr	210995555.259	12.872
123	88	211	Ra	211000893.213	8.5
122	89	211	Ac	211007731.894	56.871
121	90	211	Th	211014933.183	78.379
120	91	211	Pa	211023704.0	110.0
132	80	212	Hg	212002960.0	320.0
131	81	212	Tl	211998335.0	215.0
130	82	212	Pb	211991895.975	1.977
129	83	212	Bi	211991285.016	1.989
128	84	212	Po	211988867.896	1.236
127	85	212	At	211990737.223	2.559
126	86	212	Rn	211990703.528	3.376
125	87	212	Fr	211996225.453	9.42
124	88	212	Ra	211999786.399	12.091
123	89	212	Ac	212007812.501	55.16
122	90	212	Th	212013001.487	10.852
121	91	212	Pa	212023181.425	80.367
133	80	213	Hg	213008230.0	320.0
132	81	213	Tl	213001915.0	29.0
131	82	213	Pb	212996560.867	7.465
130	83	213	Bi	212994383.608	5.456
129	84	213	Po	212992857.083	3.277
128	85	213	At	212992936.514	5.257
127	86	213	Rn	212993885.064	3.617
126	87	213	Fr	212996185.861	5.465
125	88	213	Ra	213000370.97	10.54
124	89	213	Ac	213006607.333	16.395
123	90	213	Th	213013011.447	9.895
122	91	213	Pa	213021108.697	76.374
134	80	214	Hg	214012000.0	430.0
133	81	214	Tl	214006940.0	210.0
132	82	214	Pb	213999803.788	2.12
131	83	214	Bi	213998710.938	12.033
130	84	214	Po	213995201.208	1.555
129	85	214	At	213996371.601	4.614
128	86	214	Rn	213995362.566	9.862
127	87	214	Fr	213998970.785	9.268
126	88	214	Ra	214000099.554	5.636
125	89	214	Ac	214006917.762	16.489
124	90	214	Th	214011481.431	11.445
123	91	214	Pa	214020918.561	81.723
135	80	215	Hg	215017400.0	430.0
134	81	215	Tl	215010640.0	320.0
133	82	215	Pb	215004661.59	56.304
132	83	215	Bi	215001749.149	6.037
131	84	215	Po	214999418.454	2.276
130	85	215	At	214998651.89	7.299
129	86	215	Rn	214998745.498	8.236
128	87	215	Fr	215000341.456	7.585
127	88	215	Ra	215002720.08	8.172
126	89	215	Ac	215006474.132	13.318
125	90	215	Th	215011724.805	9.49
124	91	215	Pa	215019177.728	78.202
123	92	215	U	215026756.035	94.997
136	80	216	Hg	216021320.0	430.0
135	81	216	Tl	216015800.0	320.0
134	82	216	Pb	216008030.0	210.0
133	83	216	Bi	216006305.989	12.0
132	84	216	Po	216001913.506	1.949
131	85	216	At	216002422.631	3.837
130	86	216	Rn	216000271.464	6.435
129	87	216	Fr	216003189.445	4.48
128	88	216	Ra	216003533.117	9.379
127	89	216	Ac	216008743.367	11.637
126	90	216	Th	216011055.714	12.928
125	91	216	Pa	216019108.242	57.462
124	92	216	U	216024762.747	30.158
136	81	217	Tl	217019660.0	430.0
135	82	217	Pb	217013140.0	320.0
134	83	217	Bi	217009372.0	19.0
133	84	217	Po	217006316.216	7.025
132	85	217	At	217004717.835	5.369
131	86	217	Rn	217003927.562	4.506
130	87	217	Fr	217004631.902	7.01
129	88	217	Ra	217006322.806	7.731
128	89	217	Ac	217009343.777	12.226
127	90	217	Th	217013103.444	11.394
126	91	217	Pa	217018323.692	17.089
125	92	217	U	217024663.0	77.0
137	81	218	Tl	218024885.0	429.0
136	82	218	Pb	218016590.0	320.0
135	83	218	Bi	218014188.0	29.0
134	84	218	Po	218008971.502	2.118
133	85	218	At	218008693.735	12.456
132	86	218	Rn	218005601.052	2.486
131	87	218	Fr	218007578.274	5.106
130	88	218	Ra	218007140.325	11.997
129	89	218	Ac	218011641.093	54.471
128	90	218	Th	218013276.242	11.289
127	91	218	Pa	218020057.853	19.676
126	92	218	U	218023504.829	14.722
137	82	219	Pb	219021770.0	430.0
136	83	219	Bi	219017480.0	210.0
135	84	219	Po	219013614.0	17.0
134	85	219	At	219011160.647	3.474
133	86	219	Rn	219009478.753	2.254
132	87	219	Fr	219009251.553	7.556
131	88	219	Ra	219010085.176	8.865
130	89	219	Ac	219012420.348	54.21
129	90	219	Th	219015535.677	54.295
128	91	219	Pa	219019903.65	55.304
127	92	219	U	219024999.161	54.509
126	93	219	Np	219031623.021	94.851
138	82	220	Pb	220025410.0	430.0
137	83	220	Bi	220022350.0	320.0
136	84	220	Po	220016386.0	19.0
135	85	220	At	220015433.0	15.0
134	86	220	Rn	220011392.534	1.948
133	87	220	Fr	220012326.778	4.324
132	88	220	Ra	220011025.562	8.843
131	89	220	Ac	220014754.45	6.579
130	90	220	Th	220015747.926	23.795
129	91	220	Pa	220021705.0	55.0
128	92	220	U	220024620.0	108.0
127	93	220	Np	220032540.0	210.0
138	83	221	Bi	221025870.0	320.0
137	84	221	Po	221021228.0	21.0
136	85	221	At	221018017.0	15.0
135	86	221	Rn	221015535.709	6.134
134	87	221	Fr	221014253.757	5.245
133	88	221	Ra	221013917.224	4.97
132	89	221	Ac	221015591.199	54.133
131	90	221	Th	221018186.236	8.766
130	91	221	Pa	221021874.846	55.052
129	92	221	U	221026323.299	54.873
128	93	221	Np	221032045.0	215.0
139	83	222	Bi	222030842.0	322.0
138	84	222	Po	222024140.0	43.0
137	85	222	At	222022494.0	17.0
136	86	222	Rn	222017576.286	2.093
135	87	222	Fr	222017582.62	8.0
134	88	222	Ra	222015373.355	4.781
133	89	222	Ac	222017843.887	5.554
132	90	222	Th	222018468.3	13.182
131	91	222	Pa	222023784.0	78.0
130	92	222	U	222026057.953	55.817
129	93	222	Np	222033300.0	210.0
140	83	223	Bi	223034500.0	430.0
139	84	223	Po	223029070.0	210.0
138	85	223	At	223025151.0	15.0
137	86	223	Rn	223021889.285	8.397
136	87	223	Fr	223019734.313	2.073
135	88	223	Ra	223018500.719	2.244
134	89	223	Ac	223019136.872	7.632
133	90	223	Th	223020811.546	9.889
132	91	223	Pa	223023962.232	76.289
131	92	223	U	223027737.168	76.349
130	93	223	Np	223032850.0	210.0
141	83	224	Bi	224039539.0	429.0
140	84	224	Po	224032110.0	210.0
139	85	224	At	224029749.0	24.0
138	86	224	Rn	224024095.804	10.536
137	87	224	Fr	224023348.1	12.0
136	88	224	Ra	224020210.453	1.945
135	89	224	Ac	224021722.239	4.389
134	90	224	Th	224021464.157	10.864
